Condition,OriginalReadCode,CleansedReadCode,Term
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J13y0,J13y000,Unspecified peptic ulcer without mention of complication
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J13y1,J13y100,Unspecified peptic ulcer with haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J13y3,J13y300,Unspecified peptic ulcer with haemorrhage and perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J13yz,J13yz00,Unspecified peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J13,J13..00,Peptic ulcer - (PU) site unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",79,79...00,Heart operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",791-99,791..99,Heart valve operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",79144-99,7914499,Heart valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",^ESCTUP310215,,Upper gastrointestinal hemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",793y,793y.00,Other parts of heart or pericardium operations OS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J13yy,J13yy00,Unspec peptic ulcer; unspec haemorrhage and/or perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J13-1,J13..11,Stress ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J681-2,J681.12,Altered blood in stools
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J681-3,J681.13,Blood in stools altered
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",^ESCTPU270952,,PUD - Peptic ulcer disease
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",^ESCTBL671771,,Bloody stool
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",^ESCTUP310219,,Upper GI haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",^ESCTGA270949,,Gastroduodenal ulcer
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",J681-1,J681.11,Blood in stool
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",79-1,79...11,Cardiac operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",^ESCTBR671773,,Bright red blood per rectum
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",^ESCTUP310218,,Upper GI bleeding
