Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826691000006117.0,B6105,B610500,93543003.0,154857013.0,C810,Hodgkin's paragranuloma lymph nodes inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826911000006116.0,B6135,B613500,188559002.0,289655014.0,C810,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826921000006112.0,B6133,B613300,93493001.0,154775019.0,C810,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826931000006110.0,B6136,B613600,93494007.0,154776018.0,C810,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826961000006118.0,B6138,B613800,188562004.0,289658011.0,C810,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289621011.0,B6103,B610300,93493001.0,3635497016.0,C810,Hodgkin's paragranuloma of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289704013.0,B61z1,B61z100,93524003.0,154823017.0,C810,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289709015.0,B61z6,B61z600,93521006.0,154816018.0,C810,Hodgkin's disease NOS of intrapelvic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289710013.0,B61z7,B61z700,93527005.0,154831010.0,C810,Hodgkin's disease NOS of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289711012.0,B61z8,B61z800,93526001.0,154829018.0,C810,Hodgkin's disease NOS of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289845013.0,B62y6,B62y600,93192003.0,154198015.0,C810,Malignant lymphoma NOS of intrapelvic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289846014.0,B62y7,B62y700,93198004.0,154213015.0,C810,Malignant lymphoma NOS of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289847017.0,B62y8,B62y800,93197009.0,154211018.0,C810,Malignant lymphoma NOS of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",5511771000006113.0,^ESCTMA551177,,269475001.0,3084765015.0,C810,"Malignant tumor of lymphoid, hemopoietic AND/OR related tissue"
