Condition,MedCodeId,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,ICD10Code,Term
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302566013.0,J13y0,J13y000,13200003.0,22592012.0,K274,Unspecified peptic ulcer without mention of complication
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302568014.0,J13y1,J13y100,13200003.0,22592012.0,K274,Unspecified peptic ulcer with haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302571018.0,J13y3,J13y300,13200003.0,22592012.0,K274,Unspecified peptic ulcer with haemorrhage and perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302575010.0,J13yz,J13yz00,13200003.0,22592012.0,K274,Unspecified peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",396346019.0,J13,J13..00,13200003.0,22592012.0,K274,Peptic ulcer - (PU) site unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",818751000006112.0,79,79...00,64915003.0,107901016.0,K274,Heart operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",865131000006110.0,791-99,791..99,73544002.0,865131000006110.0,K274,Heart valve operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",865161000006118.0,79144-99,7914499,585591000000109.0,865161000006118.0,K274,Heart valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3102151000006114.0,^ESCTUP310215,,37372002.0,62345010.0,K274,Upper gastrointestinal hemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",20181000006111.0,793y,793y.00,78418002.0,130132018.0,K274,Other parts of heart or pericardium operations OS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",81501000006111.0,J13yy,J13yy00,13200003.0,22592012.0,K274,Unspec peptic ulcer; unspec haemorrhage and/or perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",121891000006117.0,J13-1,J13..11,13200003.0,22592012.0,K274,Stress ulcer NOS
