Condition,OriginalReadCode,CleansedReadCode,Term
Mood disorders ,E110-99,E110.99,Mania/hypomania
Mood disorders ,E11-99,E11..99,Manic-depressive psychoses
Mood disorders ,E11-1,E11..11,Bipolar psychoses
Mood disorders ,E11-3,E11..13,Manic psychoses
Mood disorders ,E110,E110.00,"Manic disorder, single episode"
Mood disorders ,E110-1,E110.11,Hypomanic psychoses
Mood disorders ,E1100,E110000,"Single manic episode, unspecified"
Mood disorders ,E1101,E110100,"Single manic episode, mild"
Mood disorders ,E1102,E110200,"Single manic episode, moderate"
Mood disorders ,E1104,E110400,"Single manic episode, severe, with psychosis"
Mood disorders ,E1106,E110600,Single manic episode in full remission
Mood disorders ,E110z,E110z00,"Manic disorder, single episode NOS"
Mood disorders ,E111,E111.00,Recurrent manic episodes
Mood disorders ,E1110,E111000,"Recurrent manic episodes, unspecified"
Mood disorders ,E1111,E111100,"Recurrent manic episodes, mild"
Mood disorders ,E1112,E111200,"Recurrent manic episodes, moderate"
Mood disorders ,E1114,E111400,"Recurrent manic episodes, severe, with psychosis"
Mood disorders ,E1116,E111600,"Recurrent manic episodes, in full remission"
Mood disorders ,E111z,E111z00,Recurrent manic episode NOS
Mood disorders ,E114,E114.00,"Bipolar affective disorder, currently manic"
Mood disorders ,E114-1,E114.11,Manic-depressive - now manic
Mood disorders ,E1140,E114000,"Bipolar affective disorder, currently manic, unspecified"
Mood disorders ,E1141,E114100,"Bipolar affective disorder, currently manic, mild"
Mood disorders ,E1142,E114200,"Bipolar affective disorder, currently manic, moderate"
Mood disorders ,E1143,E114300,"Bipolar affect disord, currently manic, severe, no psychosis"
Mood disorders ,E1144,E114400,"Bipolar affect disord, currently manic,severe with psychosis"
Mood disorders ,E1145,E114500,"Bipolar affect disord,currently manic, part/unspec remission"
Mood disorders ,E114z,E114z00,"Bipolar affective disorder, currently manic, NOS"
Mood disorders ,E1151,E115100,"Bipolar affective disorder, currently depressed, mild"
Mood disorders ,E1152,E115200,"Bipolar affective disorder, currently depressed, moderate"
Mood disorders ,E1153,E115300,"Bipolar affect disord, now depressed, severe, no psychosis"
Mood disorders ,E1154,E115400,"Bipolar affect disord, now depressed, severe with psychosis"
Mood disorders ,E1155,E115500,"Bipolar affect disord, now depressed, part/unspec remission"
Mood disorders ,E116,E116.00,Mixed bipolar affective disorder
Mood disorders ,E1160,E116000,"Mixed bipolar affective disorder, unspecified"
Mood disorders ,E1161,E116100,"Mixed bipolar affective disorder, mild"
