Condition,OriginalReadCode,CleansedReadCode,Term
Diverticular disease of the intestine,J5103,J510300,Diverticulosis of the small intestine unspecified
Diverticular disease of the intestine,J5113,J511300,Diverticulitis of the small intestine unspecified
Diverticular disease of the intestine,J5114,J511400,Diverticulitis of the small intestine NOS
Diverticular disease of the intestine,J511y,J511y00,Diverticulitis unspecified
Diverticular disease of the intestine,J511z,J511z00,Diverticulitis NOS
Diverticular disease of the intestine,J5123,J512300,Perforated diverticulum of small intestine unspecified
Diverticular disease of the intestine,J5124,J512400,Perforated diverticulum of small intestine NOS
Diverticular disease of the intestine,J51z,J51z.00,Diverticula of the intestine NOS
Diverticular disease of the intestine,J5z,J5z..00,Intestinal disorders NOS
Diverticular disease of the intestine,Jyu55,Jyu5500,[X]Other specified diseases of intestine
Diverticular disease of the intestine,^ESCTDI262954,,Diverticulum of small intestine
Diverticular disease of the intestine,J512y,J512y00,Perforated diverticulum unspecified
Diverticular disease of the intestine,^ESCT1178217,,Perforated diverticulum of intestine
Diverticular disease of the intestine,^ESCT1245264,,Perforated diverticulum
Diverticular disease of the intestine,^ESCT1187644,,Abscess of colon co-occurrent and due to diverticular disease of colon
Diverticular disease of the intestine,^ESCT1187854,,Multiple diverticula of intestine
Diverticular disease of the intestine,^ESCTDI353322,,Diverticulosis of small intestine and colon
Diverticular disease of the intestine,^ESCTEN389643,,Enteropathy
Diverticular disease of the intestine,^ESCT1187645,,Abscess with diverticular disease of colon
Diverticular disease of the intestine,^ESCTCO508537,,Colonic diverticular abscess
Diverticular disease of the intestine,Jyu53,Jyu5300,[X]Other specified functional disorders of intestine
Diverticular disease of the intestine,J57z,J57z.00,Other intestinal disorders NOS
Diverticular disease of the intestine,Jyu5,Jyu5.00,[X]Other diseases of intestines
Diverticular disease of the intestine,J57,J57..00,Other disorders of intestine
Diverticular disease of the intestine,J512z,J512z00,Perforated diverticulum of intestine NOS
Diverticular disease of the intestine,^ESCT1187853,,Asymptomatic diverticulosis of intestine
Diverticular disease of the intestine,^ESCTDI262955,,Diverticula of small intestine
Diverticular disease of the intestine,J5120,J512000,Perforated diverticulum of duodenum
Diverticular disease of the intestine,J5121,J512100,Perforated diverticulum of jejunum
Diverticular disease of the intestine,J5122,J512200,Perforated diverticulum of ileum
Diverticular disease of the intestine,J513,J513.00,Diverticular abscess
Diverticular disease of the intestine,J511,J511.00,Diverticulitis
Diverticular disease of the intestine,J5104,J510400,Diverticulosis of the small intestine NOS
Diverticular disease of the intestine,J51,J51..00,Diverticula of intestine
Diverticular disease of the intestine,J57y,J57y.00,Other intestine disorders
Diverticular disease of the intestine,J512,J512.00,Perforated diverticulum
Diverticular disease of the intestine,^ESCT1190481,,Perforated diverticulum unspecified
Diverticular disease of the intestine,^ESCT1187855,,Diverticulosis of intestine
Diverticular disease of the intestine,79,79...00,Heart operations
Diverticular disease of the intestine,793y,793y.00,Other parts of heart or pericardium operations OS
Diverticular disease of the intestine,79345,7934500,Percutaneous transluminal ablation of atrial wall
Diverticular disease of the intestine,79348,7934800,Percutaneous transluminal ablation of atrial wall NEC
Diverticular disease of the intestine,79-1,79...11,Cardiac operations
Diverticular disease of the intestine,^ESCTDI304453,,Diverticulitis of duodenum
Diverticular disease of the intestine,^ESCT1187856,,Diverticulosis of duodenum
Diverticular disease of the intestine,^ESCTOP355585,,Operative procedure on heart
Diverticular disease of the intestine,^ESCTDI478608,,Diverticulosis of ileum
Diverticular disease of the intestine,79z,79z..00,Heart operations NOS
Diverticular disease of the intestine,^ESCT1178431,,Diverticulosis of jejunum
Diverticular disease of the intestine,^ESCTDI478607,,Diverticula of jejunum
Diverticular disease of the intestine,79340,7934000,Percutaneous transluminal ablation of atrioventricular node
Diverticular disease of the intestine,J5100,J510000,Diverticulosis of the duodenum
Diverticular disease of the intestine,J5101,J510100,Diverticulosis of the jejunum
Diverticular disease of the intestine,J5110,J511000,Diverticulitis of the duodenum
